transaction_id,timestamp,store_id,product_id,product_name,category,quantity,unit_price,payment_type,customer_id,inventory_on_hand
T00022,2024-01-01 21:00:00,Store_5,P020,Product_P047,Clothing,4,1649.13,Cash,C1042,21
T00023,2024-01-01 22:00:00,Store_4,P025,Product_P002,Groceries,3,1221.32,Cash,C1182,184
T00024,2024-01-01 23:00:00,Store_1,P006,Product_P025,Electronics,3,1927.53,UPI,C1696,99
T00025,2024-01-02 00:00:00,Store_1,P036,Product_P049,Electronics,3,1272.52,Wallet,C1564,64
T00026,2024-01-02 01:00:00,Store_3,P002,Product_P006,Electronics,2,1579.98,Cash,C1739,121
T00027,2024-01-02 02:00:00,Store_3,P022,Product_P026,Stationery,3,1761.28,Card,C1672,78
T00028,2024-01-02 03:00:00,Store_2,P032,Product_P008,Electronics,1,1443.44,Wallet,C1234,100
T00029,2024-01-02 04:00:00,Store_4,P016,Product_P035,Groceries,4,1072.26,Cash,C1975,47
T00030,2024-01-02 05:00:00,Store_4,P018,Product_P027,Groceries,2,581.99,UPI,C1445,38
T00031,2024-01-02 06:00:00,Store_3,P005,Product_P025,Electronics,3,1716.26,Card,C1869,21
T00032,2024-01-02 07:00:00,Store_4,P036,Product_P018,Clothing,1,987.13,Cash,C1906,156
T00033,2024-01-02 08:00:00,Store_4,P030,Product_P001,Groceries,4,1260.38,Card,C1199,146
T00034,2024-01-02 09:00:00,Store_1,P045,Product_P048,Clothing,3,204.49,Wallet,C1947,91
T00035,2024-01-02 10:00:00,Store_3,P019,Product_P039,Stationery,4,1019.84,Cash,C1512,166
T00036,2024-01-02 11:00:00,Store_5,P023,Product_P003,Groceries,2,1411.41,UPI,C1525,12
T00037,2024-01-02 12:00:00,Store_3,P034,Product_P004,Clothing,2,1188.94,Card,C1989,96
T00038,2024-01-02 13:00:00,Store_5,P013,Product_P041,Electronics,1,924.68,Cash,C1212,167
T00039,2024-01-02 14:00:00,Store_1,P043,Product_P037,Stationery,2,485.68,Wallet,C1377,195
T00040,2024-01-02 15:00:00,Store_2,P029,Product_P015,Home,1,653.86,Wallet,C1788,97
T00041,2024-01-02 16:00:00,Store_4,P036,Product_P008,Home,3,1416.22,Cash,C1545,62
T00042,2024-01-02 17:00:00,Store_1,P022,Product_P038,Electronics,4,487.17,Wallet,C1485,110
T00043,2024-01-02 18:00:00,Store_4,P047,Product_P050,Stationery,2,1262.37,Card,C1985,13
T00044,2024-01-02 19:00:00,Store_2,P036,Product_P019,Stationery,4,1199.99,Card,C1360,66
T00045,2024-01-02 20:00:00,Store_2,P009,Product_P047,Stationery,4,1942.31,Card,C1781,191
T00046,2024-01-02 21:00:00,Store_1,P039,Product_P026,Stationery,3,168.52,Card,C1167,37
T00047,2024-01-02 22:00:00,Store_2,P019,Product_P039,Home,3,260.84,Wallet,C1889,25
T00048,2024-01-02 23:00:00,Store_5,P038,Product_P010,Clothing,2,1036.86,Cash,C1930,22
T00049,2024-01-03 00:00:00,Store_2,P006,Product_P038,Stationery,3,1077.86,Wallet,C1681,193
T00050,2024-01-03 01:00:00,Store_4,P047,Product_P014,Clothing,4,127.86,Wallet,C1593,62
T00051,2024-01-03 02:00:00,Store_4,P015,Product_P049,Stationery,1,1660.42,Cash,C1403,57
T00052,2024-01-03 03:00:00,Store_4,P020,Product_P041,Groceries,1,1014.71,Cash,C1827,34
T00053,2024-01-03 04:00:00,Store_4,P009,Product_P019,Groceries,1,725.96,UPI,C1136,75
T00054,2024-01-03 05:00:00,Store_5,P032,Product_P030,Groceries,2,671.76,Card,C1232,167
T00055,2024-01-03 06:00:00,Store_3,P004,Product_P005,Stationery,3,1729.74,Cash,C1114,113
T00056,2024-01-03 07:00:00,Store_1,P050,Product_P031,Clothing,3,433.63,Wallet,C1251,12
T00057,2024-01-03 08:00:00,Store_4,P018,Product_P007,Home,3,362.81,Card,C1492,160
T00058,2024-01-03 09:00:00,Store_2,P005,Product_P019,Electronics,3,465.7,Card,C1288,166
T00059,2024-01-03 10:00:00,Store_4,P020,Product_P031,Home,4,1268.79,Wallet,C1048,178
T00060,2024-01-03 11:00:00,Store_2,P023,Product_P039,Stationery,1,1631.32,Cash,C1451,103
T00061,2024-01-03 12:00:00,Store_2,P011,Product_P024,Groceries,4,695.41,Card,C1515,20
T00062,2024-01-03 13:00:00,Store_4,P037,Product_P034,Groceries,2,388.25,Card,C1890,30
T00063,2024-01-03 14:00:00,Store_5,P022,Product_P023,Clothing,1,457.93,Card,C1687,136
T00064,2024-01-03 15:00:00,Store_2,P004,Product_P048,Stationery,1,1257.41,Card,C1271,100
T00065,2024-01-03 16:00:00,Store_2,P029,Product_P045,Home,4,529.77,Card,C1430,161
T00066,2024-01-03 17:00:00,Store_4,P044,Product_P040,Stationery,2,1760.7,Wallet,C1025,104
T00067,2024-01-03 18:00:00,Store_2,P034,Product_P006,Stationery,2,252.59,Cash,C1069,103
T00068,2024-01-03 19:00:00,Store_2,P013,Product_P038,Groceries,1,113.12,Cash,C1292,138
T00069,2024-01-03 20:00:00,Store_4,P042,Product_P041,Home,3,222.34,Card,C1405,191
T00070,2024-01-03 21:00:00,Store_4,P009,Product_P036,Electronics,2,1699.0,Card,C1233,121
T00071,2024-01-03 22:00:00,Store_1,P042,Product_P027,Groceries,4,1319.9,Card,C1230,43
T00072,2024-01-03 23:00:00,Store_5,P031,Product_P011,Home,2,1917.6,Wallet,C1262,89
T00073,2024-01-04 00:00:00,Store_5,P007,Product_P005,Clothing,1,705.78,Wallet,C1937,92
T00074,2024-01-04 01:00:00,Store_2,P004,Product_P017,Groceries,3,464.72,UPI,C1797,38
T00075,2024-01-04 02:00:00,Store_5,P019,Product_P007,Clothing,2,1145.85,Card,C1585,140
T00076,2024-01-04 03:00:00,Store_2,P042,Product_P027,Groceries,1,1098.77,UPI,C1120,20
T00077,2024-01-04 04:00:00,Store_1,P030,Product_P047,Stationery,2,1202.5,UPI,C1462,145
T00078,2024-01-04 05:00:00,Store_4,P031,Product_P015,Home,3,727.69,UPI,C1517,71
T00079,2024-01-04 06:00:00,Store_4,P035,Product_P046,Clothing,4,61.5,Cash,C1023,112
T00080,2024-01-04 07:00:00,Store_4,P021,Product_P013,Groceries,1,118.31,UPI,C1705,42
T00081,2024-01-04 08:00:00,Store_5,P031,Product_P011,Clothing,1,1344.46,Card,C1679,145
T00082,2024-01-04 09:00:00,Store_1,P019,Product_P045,Groceries,3,1070.35,Wallet,C1376,162
T00083,2024-01-04 10:00:00,Store_5,P031,Product_P026,Groceries,1,1650.97,Card,C1499,97
T00084,2024-01-04 11:00:00,Store_5,P032,Product_P022,Electronics,3,635.8,Wallet,C1910,163
T00085,2024-01-04 12:00:00,Store_1,P002,Product_P028,Electronics,1,1640.17,Cash,C1436,163
T00086,2024-01-04 13:00:00,Store_1,P010,Product_P024,Electronics,3,879.71,Cash,C1852,26
T00087,2024-01-04 14:00:00,Store_1,P002,Product_P029,Clothing,2,238.56,Card,C1721,100
T00088,2024-01-04 15:00:00,Store_1,P002,Product_P009,Stationery,2,1956.93,Cash,C1644,166
T00089,2024-01-04 16:00:00,Store_4,P024,Product_P042,Groceries,2,1048.28,Wallet,C1856,52
T00090,2024-01-04 17:00:00,Store_3,P017,Product_P004,Home,1,1277.48,Cash,C1803,82
T00091,2024-01-04 18:00:00,Store_3,P032,Product_P049,Electronics,3,1358.05,UPI,C1969,14
T00092,2024-01-04 19:00:00,Store_1,P016,Product_P046,Clothing,3,756.7,UPI,C1498,187
T00093,2024-01-04 20:00:00,Store_3,P016,Product_P018,Clothing,4,1507.68,Cash,C1173,65
T00094,2024-01-04 21:00:00,Store_3,P046,Product_P043,Clothing,2,1747.02,Card,C1662,66
T00095,2024-01-04 22:00:00,Store_1,P039,Product_P016,Home,4,805.01,UPI,C1599,182
T00096,2024-01-04 23:00:00,Store_3,P031,Product_P033,Home,2,1331.15,Wallet,C1812,174
T00097,2024-01-05 00:00:00,Store_5,P043,Product_P029,Electronics,4,1526.39,Card,C1508,81
T00098,2024-01-05 01:00:00,Store_2,P024,Product_P039,Home,2,420.75,Cash,C1777,88
T00099,2024-01-05 02:00:00,Store_2,P001,Product_P010,Electronics,3,698.56,Card,C1309,45
T00100,2024-01-05 03:00:00,Store_1,P011,Product_P009,Home,2,262.15,Card,C1069,170
T00101,2024-01-05 04:00:00,Store_4,P021,Product_P031,Home,1,1224.31,Card,C1204,143
T00102,2024-01-05 05:00:00,Store_1,P004,Product_P028,Home,2,1611.83,Card,C1340,124
T00103,2024-01-05 06:00:00,Store_4,P007,Product_P003,Electronics,2,1241.14,Cash,C1031,80
T00104,2024-01-05 07:00:00,Store_2,P026,Product_P014,Groceries,3,400.58,Cash,C1042,182
T00105,2024-01-05 08:00:00,Store_1,P047,Product_P025,Electronics,1,1115.42,UPI,C1117,101
T00106,2024-01-05 09:00:00,Store_5,P050,Product_P015,Groceries,3,1678.12,UPI,C1888,144
T00107,2024-01-05 10:00:00,Store_3,P012,Product_P002,Clothing,4,640.31,Wallet,C1014,114
T00108,2024-01-05 11:00:00,Store_4,P031,Product_P024,Clothing,4,1673.67,Wallet,C1321,74
T00109,2024-01-05 12:00:00,Store_3,P017,Product_P014,Electronics,1,1580.02,UPI,C1910,33
T00110,2024-01-05 13:00:00,Store_3,P033,Product_P048,Groceries,4,92.39,UPI,C1626,54
T00111,2024-01-05 14:00:00,Store_1,P011,Product_P007,Groceries,1,516.94,Card,C1336,198
T00112,2024-01-05 15:00:00,Store_3,P028,Product_P036,Groceries,2,1108.74,UPI,C1531,156
T00113,2024-01-05 16:00:00,Store_5,P032,Product_P050,Clothing,4,1449.35,Wallet,C1689,126
T00114,2024-01-05 17:00:00,Store_3,P001,Product_P024,Electronics,2,1767.03,UPI,C1773,169
T00115,2024-01-05 18:00:00,Store_1,P047,Product_P027,Stationery,3,1300.03,Card,C1590,39
T00116,2024-01-05 19:00:00,Store_5,P028,Product_P037,Groceries,4,791.67,Wallet,C1380,74
T00117,2024-01-05 20:00:00,Store_2,P042,Product_P038,Groceries,3,410.02,Cash,C1510,169
T00118,2024-01-05 21:00:00,Store_3,P007,Product_P030,Stationery,3,1532.07,UPI,C1912,194
T00119,2024-01-05 22:00:00,Store_1,P002,Product_P027,Electronics,1,453.22,Cash,C1119,157
T00120,2024-01-05 23:00:00,Store_2,P042,Product_P039,Groceries,3,1406.09,Wallet,C1025,94
T00121,2024-01-06 00:00:00,Store_2,P024,Product_P015,Electronics,1,403.36,UPI,C1533,92
T00122,2024-01-06 01:00:00,Store_4,P004,Product_P026,Groceries,1,227.56,Cash,C1712,123
T00123,2024-01-06 02:00:00,Store_5,P044,Product_P001,Home,1,539.65,UPI,C1063,105
T00124,2024-01-06 03:00:00,Store_3,P019,Product_P004,Groceries,1,605.61,Cash,C1459,167
T00125,2024-01-06 04:00:00,Store_1,P026,Product_P029,Home,1,1312.06,Cash,C1725,96
T00126,2024-01-06 05:00:00,Store_4,P011,Product_P001,Electronics,2,363.72,Wallet,C1313,196
T00127,2024-01-06 06:00:00,Store_5,P040,Product_P043,Groceries,1,1864.1,UPI,C1982,199
T00128,2024-01-06 07:00:00,Store_4,P050,Product_P050,Clothing,4,1131.01,Cash,C1804,76
T00129,2024-01-06 08:00:00,Store_5,P043,Product_P046,Clothing,1,1007.32,UPI,C1589,40
T00130,2024-01-06 09:00:00,Store_5,P011,Product_P022,Stationery,2,897.65,UPI,C1215,75
T00131,2024-01-06 10:00:00,Store_3,P045,Product_P011,Clothing,4,1154.87,Card,C1455,63
T00132,2024-01-06 11:00:00,Store_5,P003,Product_P010,Home,4,93.77,Wallet,C1985,19
T00133,2024-01-06 12:00:00,Store_4,P012,Product_P017,Clothing,2,1980.67,UPI,C1735,175
T00134,2024-01-06 13:00:00,Store_5,P003,Product_P036,Clothing,4,1137.17,UPI,C1888,92
T00135,2024-01-06 14:00:00,Store_3,P042,Product_P047,Clothing,2,118.63,UPI,C1539,168
T00136,2024-01-06 15:00:00,Store_3,P027,Product_P026,Groceries,3,1200.46,Wallet,C1991,38
T00137,2024-01-06 16:00:00,Store_4,P049,Product_P048,Stationery,3,902.3,Wallet,C1981,162
T00138,2024-01-06 17:00:00,Store_2,P002,Product_P021,Electronics,1,96.87,UPI,C1816,41
T00139,2024-01-06 18:00:00,Store_2,P049,Product_P013,Stationery,1,1852.64,Wallet,C1712,26
T00140,2024-01-06 19:00:00,Store_5,P016,Product_P009,Home,1,70.61,Card,C1578,124
T00141,2024-01-06 20:00:00,Store_1,P002,Product_P011,Groceries,1,1176.85,Wallet,C1472,54
T00142,2024-01-06 21:00:00,Store_5,P030,Product_P011,Groceries,2,1925.49,Card,C1358,58
T00143,2024-01-06 22:00:00,Store_4,P020,Product_P006,Clothing,3,513.33,Card,C1125,96
T00144,2024-01-06 23:00:00,Store_4,P038,Product_P001,Clothing,2,545.65,Card,C1971,155
T00145,2024-01-07 00:00:00,Store_4,P028,Product_P006,Home,4,50.83,Cash,C1860,84
T00146,2024-01-07 01:00:00,Store_4,P025,Product_P013,Groceries,4,179.38,Wallet,C1706,132
T00147,2024-01-07 02:00:00,Store_4,P032,Product_P022,Electronics,4,137.53,UPI,C1936,133
T00148,2024-01-07 03:00:00,Store_3,P010,Product_P031,Stationery,4,1654.18,Card,C1685,61
T00149,2024-01-07 04:00:00,Store_2,P042,Product_P022,Groceries,4,1681.64,UPI,C1086,157
T00150,2024-01-07 05:00:00,Store_4,P040,Product_P037,Electronics,3,1467.07,Card,C1342,199
T00151,2024-01-07 06:00:00,Store_1,P033,Product_P047,Electronics,2,737.85,UPI,C1822,150
T00152,2024-01-07 07:00:00,Store_1,P013,Product_P027,Stationery,4,1651.45,Cash,C1977,97
T00153,2024-01-07 08:00:00,Store_1,P041,Product_P050,Electronics,1,1102.56,Card,C1394,180
T00154,2024-01-07 09:00:00,Store_1,P042,Product_P014,Home,3,643.41,Cash,C1483,93
T00155,2024-01-07 10:00:00,Store_3,P047,Product_P047,Electronics,1,902.69,Cash,C1665,115
T00156,2024-01-07 11:00:00,Store_1,P037,Product_P005,Home,3,178.25,Wallet,C1455,101
T00157,2024-01-07 12:00:00,Store_4,P016,Product_P036,Electronics,3,1892.57,UPI,C1475,108
T00158,2024-01-07 13:00:00,Store_5,P045,Product_P032,Clothing,1,1257.28,Card,C1209,30
T00159,2024-01-07 14:00:00,Store_1,P022,Product_P034,Electronics,1,1475.91,Cash,C1524,15
T00160,2024-01-07 15:00:00,Store_3,P020,Product_P007,Home,4,1369.34,UPI,C1675,62
T00161,2024-01-07 16:00:00,Store_3,P050,Product_P042,Electronics,1,1352.11,Wallet,C1999,96
T00162,2024-01-07 17:00:00,Store_1,P043,Product_P048,Electronics,2,83.66,UPI,C1766,189
T00163,2024-01-07 18:00:00,Store_5,P027,Product_P010,Electronics,3,1074.47,UPI,C1895,95
T00164,2024-01-07 19:00:00,Store_1,P041,Product_P050,Home,3,1652.33,Wallet,C1575,146
T00165,2024-01-07 20:00:00,Store_3,P016,Product_P017,Electronics,4,136.81,Wallet,C1306,105
T00166,2024-01-07 21:00:00,Store_2,P034,Product_P030,Stationery,3,1914.52,Wallet,C1075,183
T00167,2024-01-07 22:00:00,Store_4,P032,Product_P021,Stationery,1,877.11,Cash,C1021,122
T00168,2024-01-07 23:00:00,Store_3,P026,Product_P013,Home,3,615.3,UPI,C1059,80
T00169,2024-01-08 00:00:00,Store_1,P025,Product_P001,Clothing,3,1087.05,Wallet,C1385,167
T00170,2024-01-08 01:00:00,Store_4,P002,Product_P001,Stationery,1,1612.37,UPI,C1055,52
T00171,2024-01-08 02:00:00,Store_1,P012,Product_P047,Groceries,1,975.77,UPI,C1167,196
T00172,2024-01-08 03:00:00,Store_1,P040,Product_P033,Stationery,3,1307.96,Cash,C1411,175
T00173,2024-01-08 04:00:00,Store_2,P009,Product_P038,Groceries,2,1024.83,UPI,C1716,43
T00174,2024-01-08 05:00:00,Store_4,P012,Product_P025,Home,1,1280.98,Cash,C1864,55
T00175,2024-01-08 06:00:00,Store_4,P026,Product_P026,Clothing,2,319.16,Wallet,C1770,41
T00176,2024-01-08 07:00:00,Store_2,P009,Product_P013,Groceries,2,125.39,Wallet,C1190,153
T00177,2024-01-08 08:00:00,Store_3,P010,Product_P028,Groceries,4,316.96,UPI,C1481,176
T00178,2024-01-08 09:00:00,Store_1,P032,Product_P033,Stationery,2,607.38,Cash,C1918,10
T00179,2024-01-08 10:00:00,Store_5,P034,Product_P037,Groceries,4,544.04,Cash,C1566,194
T00180,2024-01-08 11:00:00,Store_1,P048,Product_P041,Home,2,1249.59,Card,C1415,29
T00181,2024-01-08 12:00:00,Store_1,P020,Product_P030,Home,4,938.98,Card,C1339,179
T00182,2024-01-08 13:00:00,Store_3,P039,Product_P049,Home,1,125.68,Wallet,C1795,81
T00183,2024-01-08 14:00:00,Store_1,P002,Product_P048,Stationery,3,117.99,Wallet,C1891,171
T00184,2024-01-08 15:00:00,Store_2,P001,Product_P008,Clothing,3,226.65,Card,C1775,187
T00185,2024-01-08 16:00:00,Store_2,P036,Product_P049,Stationery,4,738.51,Cash,C1258,20
T00186,2024-01-08 17:00:00,Store_4,P024,Product_P047,Home,1,62.06,UPI,C1349,116
T00187,2024-01-08 18:00:00,Store_5,P027,Product_P001,Stationery,4,1013.28,UPI,C1600,52
T00188,2024-01-08 19:00:00,Store_1,P002,Product_P012,Home,4,753.31,Cash,C1436,19
T00189,2024-01-08 20:00:00,Store_1,P031,Product_P005,Electronics,1,1133.11,Wallet,C1221,17
T00190,2024-01-08 21:00:00,Store_3,P014,Product_P024,Electronics,2,1455.61,UPI,C1412,28
T00191,2024-01-08 22:00:00,Store_2,P002,Product_P006,Groceries,2,539.4,Cash,C1349,64
T00192,2024-01-08 23:00:00,Store_5,P029,Product_P025,Clothing,1,356.31,UPI,C1481,189
T00193,2024-01-09 00:00:00,Store_4,P015,Product_P001,Electronics,4,592.2,Cash,C1600,12
T00194,2024-01-09 01:00:00,Store_2,P012,Product_P025,Home,3,53.44,Card,C1976,62
T00195,2024-01-09 02:00:00,Store_4,P037,Product_P001,Stationery,4,284.03,Card,C1058,53
T00196,2024-01-09 03:00:00,Store_3,P028,Product_P032,Stationery,2,1514.12,UPI,C1151,105
T00197,2024-01-09 04:00:00,Store_3,P020,Product_P042,Groceries,1,484.47,UPI,C1933,57
T00198,2024-01-09 05:00:00,Store_1,P039,Product_P042,Stationery,1,1988.88,UPI,C1539,63
T00199,2024-01-09 06:00:00,Store_5,P024,Product_P003,Electronics,1,377.27,UPI,C1224,153
T00200,2024-01-09 07:00:00,Store_4,P021,Product_P049,Stationery,2,1588.1,Card,C1317,167
T00201,2024-01-09 08:00:00,Store_2,P010,Product_P019,Electronics,4,1424.84,Card,C1995,101
T00202,2024-01-09 09:00:00,Store_3,P046,Product_P043,Electronics,1,678.16,Cash,C1562,165
T00203,2024-01-09 10:00:00,Store_1,P014,Product_P029,Clothing,3,694.94,UPI,C1774,153
T00204,2024-01-09 11:00:00,Store_1,P037,Product_P050,Groceries,1,1148.93,Card,C1278,60
T00205,2024-01-09 12:00:00,Store_4,P018,Product_P002,Home,4,1712.13,Wallet,C1557,170
T00206,2024-01-09 13:00:00,Store_3,P024,Product_P009,Electronics,2,803.06,Cash,C1473,162
T00207,2024-01-09 14:00:00,Store_5,P014,Product_P017,Groceries,3,169.3,Cash,C1845,27
T00208,2024-01-09 15:00:00,Store_3,P034,Product_P046,Home,3,780.12,Cash,C1617,135
T00209,2024-01-09 16:00:00,Store_4,P012,Product_P036,Stationery,1,454.26,Wallet,C1795,163
T00210,2024-01-09 17:00:00,Store_4,P022,Product_P017,Groceries,4,1881.45,Wallet,C1023,15
T00211,2024-01-09 18:00:00,Store_3,P006,Product_P049,Groceries,1,1409.68,Wallet,C1518,175
T00212,2024-01-09 19:00:00,Store_4,P036,Product_P012,Groceries,3,149.12,Card,C1367,181
T00213,2024-01-09 20:00:00,Store_3,P045,Product_P020,Stationery,1,621.33,Wallet,C1995,180
T00214,2024-01-09 21:00:00,Store_2,P036,Product_P050,Stationery,4,147.92,Cash,C1998,143
T00215,2024-01-09 22:00:00,Store_3,P022,Product_P003,Groceries,2,1668.53,UPI,C1334,87
T00216,2024-01-09 23:00:00,Store_3,P014,Product_P043,Clothing,3,1817.28,Cash,C1432,91
T00217,2024-01-10 00:00:00,Store_4,P016,Product_P050,Electronics,4,268.95,Cash,C1002,89
T00218,2024-01-10 01:00:00,Store_4,P036,Product_P004,Stationery,1,908.57,Card,C1257,97
T00219,2024-01-10 02:00:00,Store_1,P025,Product_P017,Clothing,3,1867.17,Cash,C1262,22
T00220,2024-01-10 03:00:00,Store_1,P032,Product_P050,Stationery,1,333.16,Card,C1120,74
T00221,2024-01-10 04:00:00,Store_2,P033,Product_P037,Groceries,1,619.21,Card,C1719,175
T00222,2024-01-10 05:00:00,Store_1,P045,Product_P046,Clothing,2,643.34,UPI,C1020,73
T00223,2024-01-10 06:00:00,Store_3,P036,Product_P042,Home,1,108.61,Cash,C1904,23
T00224,2024-01-10 07:00:00,Store_4,P020,Product_P015,Electronics,1,120.73,UPI,C1139,154
T00225,2024-01-10 08:00:00,Store_1,P018,Product_P033,Electronics,4,1907.95,UPI,C1476,130
T00226,2024-01-10 09:00:00,Store_1,P038,Product_P016,Stationery,1,1163.63,Cash,C1791,86
T00227,2024-01-10 10:00:00,Store_2,P003,Product_P011,Electronics,2,647.96,Cash,C1288,22
T00228,2024-01-10 11:00:00,Store_2,P023,Product_P020,Home,1,788.42,Wallet,C1205,82
T00229,2024-01-10 12:00:00,Store_3,P032,Product_P038,Clothing,1,1443.94,Wallet,C1042,143
T00230,2024-01-10 13:00:00,Store_4,P045,Product_P024,Clothing,1,764.71,Card,C1849,15
T00231,2024-01-10 14:00:00,Store_2,P016,Product_P016,Groceries,3,494.13,Cash,C1117,130
T00232,2024-01-10 15:00:00,Store_1,P005,Product_P030,Clothing,2,248.58,Card,C1004,103
T00233,2024-01-10 16:00:00,Store_4,P004,Product_P034,Stationery,3,1471.42,UPI,C1206,174
T00234,2024-01-10 17:00:00,Store_4,P021,Product_P001,Home,2,402.1,UPI,C1634,66
T00235,2024-01-10 18:00:00,Store_1,P040,Product_P024,Groceries,2,185.81,Wallet,C1838,62
T00236,2024-01-10 19:00:00,Store_2,P014,Product_P024,Stationery,4,882.56,Card,C1344,55
T00237,2024-01-10 20:00:00,Store_1,P039,Product_P009,Stationery,3,127.16,Cash,C1141,87
T00238,2024-01-10 21:00:00,Store_4,P031,Product_P022,Stationery,2,1931.75,Cash,C1371,141
T00239,2024-01-10 22:00:00,Store_5,P014,Product_P012,Electronics,2,1273.22,Wallet,C1231,43
T00240,2024-01-10 23:00:00,Store_5,P006,Product_P017,Stationery,4,347.76,Wallet,C1163,198
T00241,2024-01-11 00:00:00,Store_3,P012,Product_P025,Electronics,3,386.29,Card,C1546,51
T00242,2024-01-11 01:00:00,Store_1,P016,Product_P028,Clothing,1,1161.17,Wallet,C1363,87
T00243,2024-01-11 02:00:00,Store_1,P017,Product_P015,Electronics,4,745.3,Wallet,C1945,73
T00244,2024-01-11 03:00:00,Store_3,P045,Product_P030,Stationery,2,1559.82,Wallet,C1983,154
T00245,2024-01-11 04:00:00,Store_3,P023,Product_P027,Home,3,1114.32,UPI,C1334,198
T00246,2024-01-11 05:00:00,Store_3,P014,Product_P022,Home,2,895.0,Card,C1010,127
T00247,2024-01-11 06:00:00,Store_4,P007,Product_P010,Clothing,4,1927.81,Cash,C1407,39
T00248,2024-01-11 07:00:00,Store_1,P046,Product_P031,Stationery,4,811.92,Cash,C1074,180
T00249,2024-01-11 08:00:00,Store_4,P032,Product_P027,Electronics,3,831.19,Card,C1299,102
T00250,2024-01-11 09:00:00,Store_3,P015,Product_P012,Home,4,1348.26,Wallet,C1946,16
T00251,2024-01-11 10:00:00,Store_1,P044,Product_P046,Groceries,4,1628.48,Wallet,C1912,183
T00252,2024-01-11 11:00:00,Store_4,P017,Product_P031,Stationery,1,1271.12,Cash,C1380,32
T00253,2024-01-11 12:00:00,Store_4,P041,Product_P032,Stationery,2,1412.29,UPI,C1709,45
T00254,2024-01-11 13:00:00,Store_3,P047,Product_P032,Groceries,1,777.22,Card,C1852,151
T00255,2024-01-11 14:00:00,Store_1,P044,Product_P041,Home,1,985.02,Wallet,C1775,157
T00256,2024-01-11 15:00:00,Store_3,P034,Product_P045,Groceries,3,434.22,UPI,C1846,193
T00257,2024-01-11 16:00:00,Store_1,P005,Product_P035,Clothing,4,1376.48,UPI,C1885,125
T00258,2024-01-11 17:00:00,Store_5,P045,Product_P046,Electronics,2,481.83,Wallet,C1735,90
T00259,2024-01-11 18:00:00,Store_2,P027,Product_P021,Electronics,2,52.45,Card,C1633,169
T00260,2024-01-11 19:00:00,Store_2,P023,Product_P010,Home,2,1870.84,Card,C1585,34
T00261,2024-01-11 20:00:00,Store_2,P040,Product_P016,Groceries,4,646.73,Cash,C1027,124
T00262,2024-01-11 21:00:00,Store_3,P014,Product_P007,Stationery,2,433.43,Cash,C1462,103
T00263,2024-01-11 22:00:00,Store_5,P015,Product_P004,Stationery,2,572.89,Card,C1395,58
T00264,2024-01-11 23:00:00,Store_1,P043,Product_P027,Stationery,4,694.37,Wallet,C1682,194
T00265,2024-01-12 00:00:00,Store_4,P033,Product_P025,Clothing,3,975.37,Card,C1977,36
T00266,2024-01-12 01:00:00,Store_1,P031,Product_P031,Clothing,2,185.24,Cash,C1375,164
